Unnamed: 0,Intitulé du poste,Date de publication,lieu,competences,Nom de la société,Type de contrat,Salaires minimum,Salaires maximum
556,"ingénieur data   système, réseaux, données ",2023-01-12,paris,"python, agile, test, outils, git, jenkins","
confidentiel
","cdi
 ",45000.0,55000.0
567,consultant,2023-01-25,paris,"python, sql, communication, data management, excel","
datatorii
","cdd
 ",45000.0,55000.0
583,chef de projet,2023-01-10,,"test, recette, marketing, git, web, seo, crm","
nexton consulting
",nan,30000.0,90000.0
585,manager,2023-01-10,,"outils, devops","
frg technology consulting
",nan,90000.0,110000.0
586,data analyst,2023-01-10,,"sql, agile, outils, power bi, qlik, tableau, data quality, etl","
frg technology consulting
",nan,39000.0,59000.0
598,data ingénieur,2023-01-10,paris,"outils, hadoop, machine learning, git, windows, tableau, linux, talend, etl, spark","
alteca
","intérim
 ",40000.0,60000.0
602,"ingénieur data azure   système, réseaux, données ",2023-01-10,neuilly sur seine,"outils, communication, power bi, scala, tableau, etl","
nigel frank international
","cdi
 ",45000.0,65000.0
606,data analyst,2023-01-10,charenton le pont,"sql, outils, git, sas, power bi, cloud","
citech
","cdi
 ",40000.0,55000.0
608,data engineer,2023-01-24,paris,"test, big data, outils, git, acquisition, spring, devops, spark","
zenika
","cdi
 ",48000.0,70000.0
609,conducteur de travaux data center cfocfa   cadres de chantier ,2023-01-10,guyancourt,sécurité,"
ceme ile-de-france
","cdd
 ",38000.0,46000.0
619,data analyst,2023-01-09,boulogne billancourt,"sql, bases de données, power bi, tableau, excel","
reignier maryne
","cdi
 ",35000.0,50000.0
626,consultant,2023-01-09,puteaux,"python, big data, java, power bi, scala","
domicile
","cdd
 ",45000.0,70000.0
627,web data automatisme électrotechnique   informatique industrielle ,2023-01-23,rueil malmaison,"outils, web, excel","
takoma
","cdi
 ",27000.0,33000.0
632,data engineer,2023-01-23,paris,"python, sql, big data, scrum, scala, postgresql, cloud, etl, spark","
harnham
","cdi
 ",40000.0,50000.0
635,data engineer,2023-01-09,paris,"python, test, outils, hadoop, machine learning, java, scala, cloud, devops, spark","
neoxia
","intérim
 ",42000.0,45000.0
636,data analyst,2023-01-23,paris,"python, sql, power bi, tableau, talend, etl","
shape it
","cdi
 ",34000.0,40000.0
637,data engineer,2023-01-09,rueil malmaison,"python, sql, agile, big data, communication, machine learning, git, bases de données, scala, postgresql, serveur, spark","
groupe astek
","cdi
 ",34000.0,60000.0
642,data engineer,2023-01-09,paris,"python, big data, hadoop, scala, cloud, spark","
exalt it
","cdi
 ",40000.0,75000.0
644,référent,2023-01-09,guyancourt,"test, communication, data management, business intelligence, support, cloud, devops, nlp","
michael page international france
","cdi
 ",45000.0,60000.0
662,manager,2023-01-06,,"test, outils, git, web","
nexton consulting
",nan,25000.0,80000.0
668,data analyst,2023-01-05,stains,"bases de données, ios","
tekkeys sas
","cdi
 ",45000.0,48000.0
669,data engineer,2023-01-05,paris,"python, sql, recette, outils, communication, bases de données, power bi, sql server, oracle, tableau, excel, ios, etl","
iziday
","cdi
 ",35000.0,60000.0
671,data analyst,2023-01-05,paris,"sql, outils, bases de données, power bi","
citech
","cdi
 ",45000.0,60000.0
675,"développeur big data   système, réseaux, données ",2023-01-05,boulogne billancourt,"python, sql, test, big data, hadoop, java, scala, unix, web, unix, sécurité, ios, talend, etl, spark","
agap2it
","cdi
 ",35000.0,50000.0
698,développeur java big data   informatique de gestion ,2023-01-09,paris,"agile, test, big data, hadoop, java, spark","
margo conseil
","intérim
 ",40000.0,70000.0
704,manager,2023-01-17,tremblay en france,"test, big data, outils, validation, machine learning, support, acquisition, ios","
oem services
","cdi
 ",42000.0,45000.0
722,ingénieur qa débutant accepté  editeur data & ia   informatique de gestion ,2023-01-03,puteaux,"test, outils, saas, git, scrum, web, ios","
wake it up
","cdi
 ",35000.0,55000.0
723,product owner  société spécialisée dans l'innovation iot et la data   informatique de gestion ,2023-01-03,levallois perret,"python, agile, web","
silkhom
","cdi
 ",45000.0,65000.0
726,data analyst,2023-01-03,paris,"agile, recette, outils, tableau","
mydral
","cdd
 ",38000.0,43000.0
742,ingénieur devops big data nifi   informatique de gestion ,2023-01-23,villejuif,"big data, communication, git, linux, devops","
alithya france
","cdi
 ",45000.0,55000.0
759,chef de projet,2022-12-30,paris,"agile, recette, business intelligence","
seenovate
","cdi
 ",47000.0,55000.0
761,développeur java ee  big data [full remote]   informatique de gestion ,2022-12-30,neuilly sur seine,"sql, test, big data, nosql, hadoop, java, spark","
recrut-info
","cdi
 ",45000.0,60000.0
765,data analyst,2022-12-30,bobigny,"marketing, vba, excel","
pp
","cdd
 ",35000.0,42000.0
773,ingenieur,2022-12-29,neuilly sur seine,"python, sql, big data, nosql, hadoop, java, spring, cloud, spark","
olivier lefievre novagen conseil
","cdi
 ",40000.0,60000.0
784,"ingénieur système et réseau data center   système, réseaux, données ",2022-12-28,st gratien,"python, outils, git, bases de données, réseaux, windows, cloud, vmware, linux, sécurité, excel","
verso healthcare
","cdi
 ",40000.0,50000.0
793,gestionnaire master data ,2022-12-24,bobigny,"outils, marketing, bases de données, support","
pp
","cdi
 ",372000.0,384000.0
908,consultant,2023-01-17,paris,"sql, sas, tableau, excel","
product development employeneurship
","cdd
 ",45000.0,60000.0
