Intitulé du poste,Date de publication,lieu,competences,Nom de la société,Type de contrat,Salaire minimum,Salaire maximum,origine
ingenieur,2023-01-02,nanterre,"communication,agile,si,reseau,securite",vinci,cdi,,,patrick
technicien,2023-01-02,saint denis,"support,sap,windows,communication,itil",vinci,cdi,,,patrick
alternance,2023-01-05,la defense,"outils,design,si,marketing,illustrator",societe generale,cdi,,,patrick
concepteur,2023-01-01,bagneux,"c++,c,java,systeme,support",naval group,cdi,,,patrick
alternance,2023-01-13,fontenay sous bois,"securite,securite,reseaux,infrastructure,firewall",societe generale,cdi,,,patrick
expert,2022-12-24,ile de france,"support,recette,sql,maintenance,outils",natixis,cdi,,,patrick
developpeur,2022-12-30,courbevoie,"agile,sql,support,python,bootstrap",societe generale,cdi,,,patrick
technical leader,2022-12-24,fontenay sous bois,"agile,sql,support,python,bootstrap",societe generale,cdi,,,patrick
auditeur interne  filiere risques,2022-12-25,la defense,"securite,securite,communication,methodologie",societe generale,cdi,,,patrick
internship,2023-01-14,nozay,"cloud,reseaux,systeme,infrastructure,c++",nokia,cdi,,,patrick
developpeur,2023-01-02,la defense,"agile,sql,support,python,bootstrap",societe generale,cdi,,,patrick
developpeur,2022-12-24,la defense,"agile,sql,support,python,bootstrap",societe generale,cdi,,,patrick
ingenieur,2022-12-15,nanterre,"systeme,windows,microsoft,cloud,maintenance",experteam,cdi,45000.0,55000.0,patrick
expert,2022-12-24,ile de france,"java,soa,json,si,git",natixis,cdi,,,patrick
concepteur,2023-01-01,bagneux,"systeme,uml,outils,java,xml",naval group,cdi,,,patrick
concepteur,2022-12-24,ile de france,"outils,.net,vba,c#,windows",natixis,cdi,,,patrick
architecte,2022-12-24,fontenay sous bois,"si,securite,securite,big data,cloud",societe generale,cdi,,,patrick
alternance,2022-12-25,fontenay sous bois,"si,java,support,big data,agile",societe generale,cdi,,,patrick
consultant,2022-12-23,nanterre,"sap,si,moa,informatica,maintenance",aladium,cdd/interim,,,patrick
architecte,2023-01-01,bagneux,"securite,securite,systeme,reseaux",naval group,cdi,,,patrick
stage,2022-12-24,la defense,"outils,web,si,sql,sql server",societe generale,cdi,,,patrick
concepteur,2023-01-01,bagneux,"c++,java,systeme,c,test",naval group,cdi,,,patrick
architecte,2023-01-01,bagneux,"systeme,support,validation,securite,outils",naval group,cdi,,,patrick
expert,2023-01-12,fontenay sous bois,"securite,si,support,securite,reseaux",societe generale,cdi,,,patrick
expert,2022-12-29,la defense,"python,support,shell,securite,linux",societe generale,cdi,,,patrick
referent,2022-12-29,ile de france,"sap,outils,systeme,si,business intelligence",safran-group,cdi,,,patrick
concepteur,2023-01-01,bagneux,"systeme,outils,securite,support,securite",naval group,cdi,,,patrick
responsable,2023-01-15,paris,"outils,si,securite,support,securite",ramsay,cdi,,,patrick
chef de projet,2023-01-02,ile de france,"reseaux,securite,blockchain,securite,big data",natixis,cdi,,,patrick
developpeur,2022-12-19,saint ouen,"sap,abap,progiciel,systeme,support",groupe engie,cdi,,,patrick
architecte,2023-01-12,paris,"digital,outils,securite,securite,t-sql",groupe engie,cdi,,,patrick
quality assurance  chef qa  chef acceptance ,2023-01-15,boulogne billancourt,"test,serveur,jquery,mobile,tdd",francaise des jeux,cdi,,,patrick
data scientist,2022-12-30,neuilly sur seine,"nosql,unix,java,machine learning,linux",beezen,cdi,38000.0,50000.0,patrick
data scientist,2023-01-12,saint ouen,"big data,support,python,reseaux,securite",groupe engie,cdi,,,patrick
